latitude,longitude,TVD_FT,MD_FT,OilGravity_API,3MonthProd,6MonthProd,9MonthProd,12MonthProd,36MonthProd,FirstProdYear
28.274723,-98.952558,11411,17609.0,68.0,70106.0,150852.0,206908.0,245581.0,403788.0,2013.0
28.439104,-98.364815,13027,19367.0,60.0,46897.0,69102.0,90827.0,102369.0,145719.0,2012.0
28.093811,-99.920752,7561,13996.0,59.0,41701.0,90899.0,127914.0,163923.0,345642.0,2013.0
28.152016,-99.604233,9052,14774.0,59.0,60093.0,109723.0,139675.0,163160.0,262059.0,2015.0
28.099821,-99.769298,8478,14240.0,61.0,67330.0,116553.0,157015.0,193652.0,337913.0,2017.0
28.403333,-98.481773,12084,17920.0,55.0,43353.0,77166.0,105036.0,124060.0,198736.0,2013.0
28.149213,-99.752246,8412,13392.0,66.0,55783.0,103744.0,138908.0,166100.0,266872.0,2014.0
28.407456,-98.446179,12698,19030.0,65.0,59504.0,62112.0,62112.0,62117.0,144066.0,2013.0
28.742097,-97.94304,12920,16929.0,64.0,24258.0,73540.0,106254.0,128497.0,205359.0,2015.0
28.072568,-99.64201,9371,14790.0,61.0,75864.0,135037.0,177425.0,207672.0,377651.0,2011.0
28.102694,-99.951055,7172,12567.0,60.0,32118.0,63908.0,87823.0,101551.0,198412.0,2011.0
28.167665,-99.796804,8242,13755.0,62.0,36202.0,74879.0,104228.0,128676.0,227462.0,2013.0
28.115773,-99.913845,7624,12709.0,63.0,34109.0,77501.0,104663.0,124543.0,212888.0,2013.0
28.645714,-98.022137,13223,17990.0,65.0,34088.0,55082.0,69888.0,84119.0,151547.0,2012.0
29.046435,-97.492464,13690,20681.0,63.0,128033.0,200206.0,240333.0,266078.0,388676.0,2014.0
28.103556,-99.722223,8547,14247.0,64.0,77254.0,133681.0,171233.0,196634.0,288288.0,2013.0
28.703101,-98.046107,12701,18628.0,64.0,34177.0,67112.0,94403.0,126106.0,266748.0,2014.0
28.011711,-99.807274,8734,16255.0,65.0,84238.0,177884.0,245803.0,310501.0,625849.0,2012.0
28.344192,-99.477971,8210,14193.0,53.0,13266.0,46522.0,64745.0,77068.0,166994.0,2013.0
28.137592,-99.625734,8815,14094.0,60.0,41070.0,73566.0,96140.0,117819.0,215245.0,2015.0
28.075908,-99.857787,8261,16483.0,62.0,22121.0,181264.0,319716.0,419803.0,796972.0,2013.0
28.612807,-98.155504,13039,18425.0,61.0,90038.0,158928.0,193216.0,232939.0,385974.0,2015.0
28.09584,-99.629731,9317,15230.0,63.0,32841.0,54305.0,70840.0,82707.0,94094.0,2011.0
28.101315,-99.436842,10565,15175.0,61.0,46987.0,93866.0,130520.0,163967.0,334883.0,2012.0
28.190489,-99.462408,9782,16350.0,58.0,17486.0,32620.0,41901.0,53517.0,83798.0,2012.0
28.543763,-98.184015,13084,18272.0,61.0,66759.0,108412.0,131712.0,151250.0,222298.0,2014.0
28.350038,-99.496589,7981,13637.0,46.0,11098.0,24779.0,30999.0,51982.0,154580.0,2011.0
28.250979,-99.714546,8176,11537.0,62.0,13988.0,28710.0,33323.0,52741.0,114457.0,2012.0
28.403133,-98.481753,12072,17818.0,55.0,43826.0,75624.0,102393.0,123426.0,215023.0,2013.0
28.197222,-99.448647,9468,17089.0,60.0,7008.0,10538.0,13056.0,15332.0,36490.0,2013.0
28.268319,-100.256651,4908,9717.0,47.0,2463.0,2463.0,16148.0,34272.0,106156.0,2012.0
28.061003,-99.816594,8405,14678.0,59.0,27421.0,68187.0,99827.0,140181.0,421806.0,2018.0
28.320977,-98.832001,11369,18088.0,55.0,65974.0,141055.0,179782.0,209683.0,321289.0,2018.0
28.208559,-99.644365,8333,14316.0,54.0,26964.0,53092.0,71171.0,83433.0,141614.0,2018.0
28.770915,-97.97544,12697,18924.0,62.0,144953.0,209870.0,261805.0,290043.0,391099.0,2019.0
28.613559,-98.146535,13053,18624.0,63.0,156824.0,284950.0,349443.0,398077.0,570419.0,2019.0
28.155565,-99.709611,8508,13905.0,62.0,25378.0,62843.0,93997.0,121091.0,281649.0,2014.0
28.216588,-99.704773,8110,14668.0,57.0,41359.0,78773.0,104479.0,127197.0,218787.0,2015.0
28.216383,-99.628491,8245,14806.0,53.0,15906.0,32044.0,44723.0,55529.0,105387.0,2017.0
